game_id,title,slug,provider,provider_slug,webp_filename,webp_path,webp_exists,thumbnail_url,player_count,is_blocked,is_widget_enabled,categories,themes,provider_directory
3oaks-coin-princess-x1000,Coin Princess x1000,3oaks-coin-princess-x1000,3 Oaks Gaming,,3 Oaks Gaming - Coin Princess x1000.webp,stake_thumbnails\3_Oaks_Gaming\3 Oaks Gaming - Coin Princess x1000.webp,false,https://mediumrare.imgix.net/d950007cf2867c8be3504c9c24a039d9ab5419ef1db9411eb1302485ad620071,,,,,,3_Oaks_Gaming
3oaks-lucky-penny,Lucky Penny,3oaks-lucky-penny,3 Oaks Gaming,,3 Oaks Gaming - Lucky Penny.webp,stake_thumbnails\3_Oaks_Gaming\3 Oaks Gaming - Lucky Penny.webp,false,https://mediumrare.imgix.net/28a4db71a382de03662ffd82a60d849ecc411c1ff8e1305afc4f393a3482142e,,,,,,3_Oaks_Gaming
3oaks-777-fruity-coins,777 Fruity Coins,3oaks-777-fruity-coins,3 Oaks Gaming,,3 Oaks Gaming - 777 Fruity Coins.webp,stake_thumbnails\3_Oaks_Gaming\3 Oaks Gaming - 777 Fruity Coins.webp,false,https://mediumrare.imgix.net/fed1a7550706a74f2fc4ea3c3c9d2c3d12fb55c658b309373868187932555263,,,,,,3_Oaks_Gaming
3oaks-3-coin-volcanoes,3 Coin Volcanoеs,3oaks-3-coin-volcanoes,3 Oaks Gaming,,3 Oaks Gaming - 3 Coin Volcanoеs.webp,stake_thumbnails\3_Oaks_Gaming\3 Oaks Gaming - 3 Coin Volcanoеs.webp,false,https://mediumrare.imgix.net/6d5e9dc15f80fb6de65c4291c049277c0566faa0eb5e34421e5fcd9eee7cdf30,,,,,,3_Oaks_Gaming
3oaks-maya-lock,Maya Lock,3oaks-maya-lock,3 Oaks Gaming,,3 Oaks Gaming - Maya Lock.webp,stake_thumbnails\3_Oaks_Gaming\3 Oaks Gaming - Maya Lock.webp,false,https://mediumrare.imgix.net/5a45860bf69e38c6fedc5ae4956fa231cd4662de9d92ca00da8144fb133b07d9,,,,,,3_Oaks_Gaming
3oaks-amazonia-wins,Amazonia Wins,3oaks-amazonia-wins,3 Oaks Gaming,,3 Oaks Gaming - Amazonia Wins.webp,stake_thumbnails\3_Oaks_Gaming\3 Oaks Gaming - Amazonia Wins.webp,false,https://mediumrare.imgix.net/7bcf493f184b826d8abfcff46aea218e784889a6b76d0e742fe213b9fd6f776e,,,,,,3_Oaks_Gaming
3oaks-super-china-pots,Super China Pots,3oaks-super-china-pots,3 Oaks Gaming,,3 Oaks Gaming - Super China Pots.webp,stake_thumbnails\3_Oaks_Gaming\3 Oaks Gaming - Super China Pots.webp,false,https://mediumrare.imgix.net/7ecba59ea0aefe6cf4fd19e0190a3a08a0bd77c3ee5cb962f7f853a416008d46,,,,,,3_Oaks_Gaming
3oaks-tiger-gems,Tiger Gems,3oaks-tiger-gems,3 Oaks Gaming,,3 Oaks Gaming - Tiger Gems.webp,stake_thumbnails\3_Oaks_Gaming\3 Oaks Gaming - Tiger Gems.webp,false,https://mediumrare.imgix.net/819a3b214aaa54ba07b3b3da8bcb6f71549d01baf388d5f826a31fb743388bf1,,,,,,3_Oaks_Gaming
3oaks-3-super-hot-chillies,3 Super Hot Chillies,3oaks-3-super-hot-chillies,3 Oaks Gaming,,3 Oaks Gaming - 3 Super Hot Chillies.webp,stake_thumbnails\3_Oaks_Gaming\3 Oaks Gaming - 3 Super Hot Chillies.webp,false,https://mediumrare.imgix.net/176e95349b4b85bca534a8b2b2f5e3f61ae4304f0cb8c3eead678637a542ed4f,,,,,,3_Oaks_Gaming
3oaks-coin-lightning,Coin Up: Lightning,3oaks-coin-lightning,3 Oaks Gaming,,3 Oaks Gaming - Coin Up Lightning.webp,stake_thumbnails\3_Oaks_Gaming\3 Oaks Gaming - Coin Up Lightning.webp,false,https://mediumrare.imgix.net/552c65cac780922bdc455a52d5da0f3430ed66c026cbd88feafb8a66d24c23f6,,,,,,3_Oaks_Gaming
