provider_name,provider_slug,total_games,images_downloaded,images_missing,completion_rate,unique_categories,unique_themes
3 Oaks Gaming,,39,0,39,0.0%,0,0
AvatarUX,,39,0,39,0.0%,0,0
Belatra,,39,0,39,0.0%,0,0
Big Time Gaming,,39,0,39,0.0%,0,0
Blueprint,,39,0,39,0.0%,0,0
BGaming,,39,0,39,0.0%,0,0
ELK Studios,,39,0,39,0.0%,0,0
Endorphina,,39,0,39,0.0%,0,0
Evolution,,39,0,39,0.0%,0,0
Games Global,,39,0,39,0.0%,0,0
GameArt,,39,0,39,0.0%,0,0
Gamomat,,39,0,39,0.0%,0,0
Hacksaw Gaming,,39,0,39,0.0%,0,0
Netent,,39,0,39,0.0%,0,0
Novomatic,,39,0,39,0.0%,0,0
Nolimit City,,39,0,39,0.0%,0,0
Penguin King ,,39,0,39,0.0%,0,0
PG Soft,,39,0,39,0.0%,0,0
Play'n Go,,39,0,39,0.0%,0,0
Popiplay,,39,0,39,0.0%,0,0
Pragmatic Play,,39,0,39,0.0%,0,0
Push Gaming,,39,0,39,0.0%,0,0
Quickspin,,39,0,39,0.0%,0,0
Red Rake Gaming,,39,0,39,0.0%,0,0
Red Tiger,,39,0,39,0.0%,0,0
Relax Gaming,,39,0,39,0.0%,0,0
Spinomenal,,39,0,39,0.0%,0,0
VoltEnt,,39,0,39,0.0%,0,0
Playson,,38,0,38,0.0%,0,0
Slotmill,,36,0,36,0.0%,0,0
Peter & Sons,,33,0,33,0.0%,0,0
OneTouch,,32,0,32,0.0%,0,0
Backseat Gaming,,26,0,26,0.0%,0,0
Fantasma Games,,26,0,26,0.0%,0,0
Twist Gaming,,25,0,25,0.0%,0,0
Stake Originals,,25,0,25,0.0%,0,0
Print Studios,,22,0,22,0.0%,0,0
Massive Studios,,21,0,21,0.0%,0,0
Bullshark Games,,20,0,20,0.0%,0,0
Titan Gaming,,19,0,19,0.0%,0,0
Paperclip Gaming,,18,0,18,0.0%,0,0
Fat Panda,,15,0,15,0.0%,0,0
Hacksaw OpenRGS,,8,0,8,0.0%,0,0
18 Gaming,,6,0,6,0.0%,0,0
Live88,,5,0,5,0.0%,0,0
Shady Lady,,5,0,5,0.0%,0,0
Just Slots,,4,0,4,0.0%,0,0
Mirror Image Gaming,,3,0,3,0.0%,0,0
Drip Drop Studios,,1,0,1,0.0%,0,0
Paradice Gaming,,1,0,1,0.0%,0,0
MadLab Gaming,,1,0,1,0.0%,0,0
Rubber Duck Gaming,,1,0,1,0.0%,0,0
Atomic Gaming,,1,0,1,0.0%,0,0
